# J2K model output
# 
#date/time	PercoN	InterflowN	SurfaceN	Denit_rate	Nitri_rate	NH4inp	Volati_rate	PlantupN	NO3_Pool	NH4_Pool	N_activ_pool	N_stabel_pool	residue_pool	N_residue_pool_fresh
1992-11-11 07:30	0.02262804848840168	4.495756441974067E-4	0.0	0.0	0.0	0.0	0.0	0.02001434599714984	11.677571229475422	1.2051864795478342	41.78588045192478	2047.5000003953642	9.444794749387597	0.014167192124081397
1992-11-12 07:30	0.013267819403050413	2.636059604644487E-4	0.0	0.0	0.0	0.0	0.0	0.02001538358926697	11.65486808703127	1.2051864795478342	41.7858986290216	2047.5000004767817	9.383933035021235	0.014075899552531853
1992-11-13 07:30	0.007005057254924361	1.391769656864822E-4	0.0	0.0	0.0	0.0	0.0	0.01576245007576113	11.64296435046913	1.2051864795478342	41.78591694681535	2047.5000005671052	9.322572644354526	0.013983858966531789
1992-11-14 07:30	0.0026506011081221703	5.266232752263984E-5	0.0	0.0	0.0	0.0	0.0	0.020892110631673507	11.630418486353912	1.2051864795478342	41.78593521345152	2047.5000006664034	9.261352862872267	0.013892029294308399
1992-11-15 07:30	0.03012449465805739	5.985155590840837E-4	0.0	0.0	0.0	0.0	0.0	0.020227424552815666	11.591133103283584	1.2051864795478342	41.78595436776822	2047.5000007746512	9.197144314126382	0.013795716471189573
1992-11-16 07:30	0.012892653750813486	2.5615214314248175E-4	0.0	0.0	0.0	0.0	0.0	0.012040900788682128	11.577762736683638	1.2051864795478342	41.78597363304357	2047.5000008922837	9.132534621425352	0.013698801932138028
1992-11-17 07:30	0.020318151944219598	4.0368245869304E-4	0.0	0.0	0.0	0.0	0.0	0.022485474940213517	11.546661178186275	1.2051864795478342	41.78599322000957	2047.5000010193548	9.066821163860457	0.013600231745790685
1992-11-18 07:30	0.01707044397518027	3.391567704484573E-4	0.0	0.0	0.0	0.0	0.0	0.01710340737101243	11.524444596380638	1.2051864795478342	41.786012964726716	2047.5000011560226	9.000549881344213	0.013500824822016321
1992-11-19 07:30	0.02555247822827534	5.07678418057364E-4	0.0	0.0	0.0	0.0	0.0	0.01218049387715419	11.498786717420465	1.2051864795478342	41.78603301498957	2047.5000013023637	8.933227867977656	0.013399841801966485
1992-11-20 07:30	0.012172498989841194	2.418440581676816E-4	0.0	0.0	0.0	0.0	0.0	0.025401390935075586	11.47362164359321	1.2051864795478342	41.786053013474564	2047.500001458528	8.866045703597274	0.01329906855539591
1992-11-21 07:30	0.09486500041792134	0.0018847844389468485	0.0	0.0	0.0	0.0	0.0	0.017219333909683	11.373173737690891	1.2051864795478342	41.786074228111545	2047.50000162449	8.794777040275305	0.013192165560412956
1992-11-22 07:30	0.13960128113839457	0.00277360798173763	0.0	0.0	0.0	0.0	0.0	0.012578635323940358	11.232518028840607	1.2051864795478342	41.786096479760815	2047.5000018008457	8.72001702428195	0.013080025536422924
1992-11-23 07:30	0.034857012098956815	6.925415453841556E-4	0.0	0.0	0.0	0.0	0.0	0.030392377594655816	11.180797104114253	1.2051864795478342	41.786118411566335	2047.5000019881027	8.646286815633	0.012969430223449499
