#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
12.09.1993	07:30	8.475762206	10.7106174	8.483813602
13.09.1993	07:30	5.933508816	7.765837912	6.151272039
14.09.1993	07:30	4.900415146	5.425738988	4.297694197
15.09.1993	07:30	9.432947992	12.07731102	9.566363142
16.09.1993	07:30	7.141204507	8.942186338	7.083050331
17.09.1993	07:30	5.516327046	5.932042418	4.698734003
18.09.1993	07:30	6.857067206	7.016026114	5.557350765
19.09.1993	07:30	7.443668577	10.28730017	8.148506654
20.09.1993	07:30	5.238447047	7.022949139	5.562834451
21.09.1993	07:30	4.341459468	5.669800423	4.491013746
22.09.1993	07:30	2.940635879	5.182354269	4.104910671
23.09.1993	07:30	9.503568768	11.79491919	9.342682325
24.09.1993	07:30	8.807062171	10.66435969	8.447173163
25.09.1993	07:30	9.098886744	10.95706344	8.679021989
26.09.1993	07:30	9.346270059	11.93306033	9.452103068
27.09.1993	07:30	10.12658188	10.14819415	8.038321636
28.09.1993	07:30	10.6362795	11.61732082	9.202007763
29.09.1993	07:30	10.00530192	11.68015245	9.251776304
30.09.1993	07:30	10.75569838	13.22904899	10.47864765
01.10.1993	07:30	9.898176064	12.34444862	9.777961182
02.10.1993	07:30	9.31174801	11.86356887	9.397059312
03.10.1993	07:30	10.72557362	12.44199878	9.855230059
04.10.1993	07:30	9.769706975	10.09717453	7.997909314
05.10.1993	07:30	10.18401557	10.85956466	8.601793809
06.10.1993	07:30	9.231749727	11.49567149	9.105650084
07.10.1993	07:30	11.03503115	13.64741372	10.81003176
08.10.1993	07:30	9.966289326	13.07148415	10.35384152
09.10.1993	07:30	9.173012569	10.8812246	8.618950508
10.10.1993	07:30	7.25856859	9.570335492	7.58060338
11.10.1993	07:30	9.93340699	12.06896432	9.559751779
12.10.1993	07:30	9.080761469	10.89705554	8.631490104
13.10.1993	07:30	7.386151898	9.292506648	7.360536876
14.10.1993	07:30	11.29715139	13.24914937	10.49456904
15.10.1993	07:30	9.539534975	12.47536843	9.881661953
16.10.1993	07:30	8.174797911	9.815017766	7.774414691
17.10.1993	07:30	8.443166452	9.608477524	7.610815446
18.10.1993	07:30	9.701972193	12.72293744	10.07775983
19.10.1993	07:30	8.458232369	10.89063615	8.626405342
20.10.1993	07:30	10.23504429	10.62804035	8.418404836
21.10.1993	07:30	10.17605523	11.98920931	9.496578324
22.10.1993	07:30	10.46251709	10.02891091	7.943838127
