# J2K model output
# 
#date/time	precip	tmean	rhum	rain	snow	potETP	netRain	netSnow	throughfall	interception	intercStorage	actETP	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actDPS	actMPS	actLPS	percolation	actRG1	actRG2	reachOutRD1	reachOutRD2	reachOutRG1	reachOutRG2	channelStorage	simRunoff	obsRunoff
2004-02-20 16:00	0.0	-1.074	99.38932190882585	0.0	0.0	0.04104058411310448	0.0	0.0	0.0	0.0	0.0	0.040907579020258995	0.0	0.0	0.0	0.8910215030700199	0.0	0.0	74.5097476488157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46
2004-02-20 17:00	0.0	-2.105	98.70997494471567	0.0	0.0	0.032234595112260046	0.0	0.0	0.0	0.0	0.0	0.032127629953398386	0.0	0.0	0.0	0.8905745728707318	0.0	0.0	74.47762001886232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03
2004-02-20 18:00	0.0	-1.918	94.11773596891848	0.0	0.0	0.02125757287715801	0.0	0.0	0.0	0.0	0.0	0.021185747396496143	0.0	0.0	0.0	0.8902798397528549	0.0	0.0	74.45643427146578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81
2004-02-20 19:00	0.0	-1.998	89.429869154342	0.0	0.0	0.01150109670261815	0.0	0.0	0.0	0.0	0.0	0.011461801372350613	0.0	0.0	0.0	0.8901203573818869	0.0	0.0	74.4449724700935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58
2004-02-20 20:00	0.0	-1.409	81.48545151743336	0.0	0.0	0.01547263729448235	0.0	0.0	0.0	0.0	0.0	0.015419495051737063	0.0	0.0	0.0	0.8899056841477687	0.0	0.0	74.42955297504169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.91
2004-02-20 21:00	0.0	-1.331	77.64648050818116	0.0	0.0	0.024114440044829023	0.0	0.0	0.0	0.0	0.0	0.024030879994385274	0.0	0.0	0.0	0.8895711334951218	0.0	0.0	74.40552209504739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69
2004-02-20 22:00	0.0	-1.6	80.50656086470177	0.0	0.0	0.019637845674344404	0.0	0.0	0.0	0.0	0.0	0.019568851144330872	0.0	0.0	0.0	0.8892987171388194	0.0	0.0	74.385953243903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33
2004-02-20 23:00	0.0	-1.946	84.14015613320534	0.0	0.0	0.01582527450171769	0.0	0.0	0.0	0.0	0.0	0.015769045345333303	0.0	0.0	0.0	0.8890792079845639	0.0	0.0	74.37018419855768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41
2004-02-21 00:00	0.0	-2.433	87.5661539280447	0.0	0.0	0.009235197928630968	0.0	0.0	0.0	0.0	0.0	0.009202084862489902	0.0	0.0	0.0	0.8889511175324746	0.0	0.0	74.36098211369516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16
2004-02-21 01:00	0.0	-3.031	92.37300838742763	0.0	0.0	0.006047674231245562	0.0	0.0	0.0	0.0	0.0	0.006025874895742214	0.0	0.0	0.0	0.8888672410236602	0.0	0.0	74.35495623879943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7
2004-02-21 02:00	0.0	-3.225	94.94829285491787	0.0	0.0	0.003780924559292376	0.0	0.0	0.0	0.0	0.0	0.003767248512666358	0.0	0.0	0.0	0.8888148040234669	0.0	0.0	74.35118899028681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39
2004-02-21 03:00	0.0	-3.138	94.10595647454156	0.0	0.0	0.0059372278689823164	0.0	0.0	0.0	0.0	0.0	0.005915705565068473	0.0	0.0	0.0	0.8887324631475516	0.0	0.0	74.34527328472171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.79
2004-02-21 04:00	0.0	-3.368	95.13500297078768	0.0	0.0	0.0046551515984562105	0.0	0.0	0.0	0.0	0.0	0.004638219160158173	0.0	0.0	0.0	0.8886679046284581	0.0	0.0	74.34063506556154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08
2004-02-21 05:00	0.0	-3.865	97.48530607516616	0.0	0.0	0.0018276812732539057	0.0	0.0	0.0	0.0	0.0	0.0018210155483342628	0.0	0.0	0.0	0.8886425585382034	0.0	0.0	74.33881405001327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57
2004-02-21 06:00	0.0	-3.528	94.90367992547931	0.0	0.0	0.004713079613615557	0.0	0.0	0.0	0.0	0.0	0.004695872523632653	0.0	0.0	0.0	0.8885771986571878	0.0	0.0	74.33411817748966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.91
2004-02-21 07:00	0.0	-3.159	92.18642776141735	0.0	0.0	0.007652093051886973	0.0	0.0	0.0	0.0	0.0	0.007624080115588973	0.0	0.0	0.0	0.8884710836119618	0.0	0.0	74.32649409737404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.02
2004-02-21 08:00	0.0	-2.463	87.26160313443827	0.0	0.0	0.014630577073851165	0.0	0.0	0.0	0.0	0.0	0.014576781184249514	0.0	0.0	0.0	0.8882682022640079	0.0	0.0	74.31191731618975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8
2004-02-21 09:00	0.0	-1.51	77.02058053639966	0.0	0.0	0.028214524383933067	0.0	0.0	0.0	0.0	0.0	0.028109904946636993	0.0	0.0	0.0	0.8878769808028095	0.0	0.0	74.28380741124312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14
2004-02-21 10:00	0.0	-0.289	71.16159867889478	0.0	0.0	0.043101513020791744	0.0	0.0	0.0	0.0	0.0	0.042939020287958984	0.0	0.0	0.0	0.8872794827861731	0.0	0.0	74.24086839095513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72
2004-02-21 11:00	0.0	1.423	64.19272305961239	0.0	0.0	0.0686796447787582	0.0	0.0	0.0	0.0	0.0	0.06841407865074543	0.0	0.0	0.0	0.8863277886458425	0.0	0.0	74.17245431230438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.13
