#rhum.dat relative Humidity				
@dataValueAttribs				
rhum	0	100	%	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal		
14.01.1980	07:30	90	89	89
15.01.1980	07:30	85	92	85
16.01.1980	07:30	86	97	97
17.01.1980	07:30	87	93	96
18.01.1980	07:30	87	95	91
19.01.1980	07:30	93	97	92
20.01.1980	07:30	90	96	96
21.01.1980	07:30	92	91	94
22.01.1980	07:30	74	86	99
23.01.1980	07:30	75	90	99
24.01.1980	07:30	89	94	99
25.01.1980	07:30	87	92	99
26.01.1980	07:30	78	89	96
27.01.1980	07:30	75	87	95
28.01.1980	07:30	85	86	93
29.01.1980	07:30	82	90	97
30.01.1980	07:30	79	87	99
31.01.1980	07:30	80	89	100
01.02.1980	07:30	68	86	98
02.02.1980	07:30	80	90	98
03.02.1980	07:30	79	90	99
04.02.1980	07:30	84	96	99
05.02.1980	07:30	86	92	99
06.02.1980	07:30	85	94	100
07.02.1980	07:30	82	94	100
08.02.1980	07:30	79	88	99
09.02.1980	07:30	80	85	85
10.02.1980	07:30	76	82	92
11.02.1980	07:30	76	89	98
12.02.1980	07:30	78	89	97
13.02.1980	07:30	83	86	92
14.02.1980	07:30	84	88	90
15.02.1980	07:30	87	85	95
16.02.1980	07:30	85	91	99
17.02.1980	07:30	76	86	97
18.02.1980	07:30	81	89	94
19.02.1980	07:30	72	79	82
20.02.1980	07:30	73	76	73
21.02.1980	07:30	76	73	53
22.02.1980	07:30	88	86	43
23.02.1980	07:30	93	79	56
24.02.1980	07:30	85	82	60
25.02.1980	07:30	80	82	63
26.02.1980	07:30	94	84	69
27.02.1980	07:30	91	97	67
28.02.1980	07:30	83	90	97
29.02.1980	07:30	78	90	98
01.03.1980	07:30	73	88	98
02.03.1980	07:30	71	80	94
03.03.1980	07:30	68	77	86
04.03.1980	07:30	83	89	94
05.03.1980	07:30	82	84	94
06.03.1980	07:30	73	82	93
07.03.1980	07:30	78	84	98
08.03.1980	07:30	75	78	83
09.03.1980	07:30	81	93	92
10.03.1980	07:30	82	88	95
11.03.1980	07:30	77	90	99
12.03.1980	07:30	77	93	99
13.03.1980	07:30	70	84	99
14.03.1980	07:30	77	91	98
15.03.1980	07:30	71	85	96
16.03.1980	07:30	72	84	90
17.03.1980	07:30	86	92	85
18.03.1980	07:30	64	85	90
19.03.1980	07:30	82	92	98
20.03.1980	07:30	75	89	96
21.03.1980	07:30	71	82	95
22.03.1980	07:30	78	88	94
23.03.1980	07:30	75	90	89
24.03.1980	07:30	78	91	99
25.03.1980	07:30	80	95	89
26.03.1980	07:30	78	84	94
27.03.1980	07:30	77	90	98
28.03.1980	07:30	71	85	98
29.03.1980	07:30	66	78	90
30.03.1980	07:30	69	88	97
31.03.1980	07:30	65	79	90
01.04.1980	07:30	78	91	99
02.04.1980	07:30	73	90	99
03.04.1980	07:30	77	94	98
04.04.1980	07:30	83	94	99
05.04.1980	07:30	70	87	99
06.04.1980	07:30	69	79	96
07.04.1980	07:30	63	76	91
08.04.1980	07:30	71	84	94
09.04.1980	07:30	74	83	91
10.04.1980	07:30	78	88	97
11.04.1980	07:30	72	85	92
12.04.1980	07:30	65	75	75
13.04.1980	07:30	60	64	58
14.04.1980	07:30	56	59	52
15.04.1980	07:30	52	62	49
16.04.1980	07:30	48	59	45
17.04.1980	07:30	45	59	50
18.04.1980	07:30	63	68	75
19.04.1980	07:30	65	80	92
20.04.1980	07:30	69	82	95
21.04.1980	07:30	71	87	92
22.04.1980	07:30	62	79	90
23.04.1980	07:30	60	75	96
24.04.1980	07:30	74	90	98
25.04.1980	07:30	84	96	99
26.04.1980	07:30	85	83	96
27.04.1980	07:30	86	89	99
28.04.1980	07:30	81	80	94
29.04.1980	07:30	77	86	84
30.04.1980	07:30	70	76	73
01.05.1980	07:30	68	79	87
02.05.1980	07:30	79	94	100
03.05.1980	07:30	66	73	87
04.05.1980	07:30	64	74	76
05.05.1980	07:30	63	69	67
06.05.1980	07:30	59	67	62
07.05.1980	07:30	70	80	78
08.05.1980	07:30	75	83	82
09.05.1980	07:30	67	70	82
10.05.1980	07:30	59	63	69
11.05.1980	07:30	56	53	53
12.05.1980	07:30	58	60	51
13.05.1980	07:30	54	58	52
14.05.1980	07:30	55	61	48
15.05.1980	07:30	55	58	50
16.05.1980	07:30	56	56	53
17.05.1980	07:30	65	64	58
18.05.1980	07:30	67	65	74
19.05.1980	07:30	64	63	68
20.05.1980	07:30	56	62	58
21.05.1980	07:30	62	64	57
22.05.1980	07:30	64	67	82
23.05.1980	07:30	53	56	56
24.05.1980	07:30	70	68	82
25.05.1980	07:30	78	69	85
26.05.1980	07:30	67	62	68
27.05.1980	07:30	60	59	63
28.05.1980	07:30	76	76	82
29.05.1980	07:30	77	67	86
30.05.1980	07:30	83	86	99
31.05.1980	07:30	70	63	81
01.06.1980	07:30	73	78	97
02.06.1980	07:30	62	67	78
03.06.1980	07:30	59	65	72
04.06.1980	07:30	69	73	89
05.06.1980	07:30	68	68	75
06.06.1980	07:30	63	62	71
07.06.1980	07:30	65	67	71
08.06.1980	07:30	79	77	87
09.06.1980	07:30	72	74	90
10.06.1980	07:30	79	87	90
11.06.1980	07:30	89	87	93
12.06.1980	07:30	69	65	74
13.06.1980	07:30	71	71	64
14.06.1980	07:30	64	70	61
15.06.1980	07:30	79	77	88
16.06.1980	07:30	70	72	90
17.06.1980	07:30	77	77	93
18.06.1980	07:30	79	79	94
19.06.1980	07:30	75	75	88
20.06.1980	07:30	74	78	95
21.06.1980	07:30	69	74	86
22.06.1980	07:30	75	82	92
23.06.1980	07:30	74	75	87
24.06.1980	07:30	72	76	87
25.06.1980	07:30	80	81	99
26.06.1980	07:30	81	78	95
27.06.1980	07:30	78	83	92
28.06.1980	07:30	80	81	99
29.06.1980	07:30	81	87	98
30.06.1980	07:30	83	82	98
01.07.1980	07:30	82	79	98
02.07.1980	07:30	84	86	99
03.07.1980	07:30	83	86	98
04.07.1980	07:30	77	76	85
05.07.1980	07:30	84	85	95
06.07.1980	07:30	69	73	79
07.07.1980	07:30	79	78	94
08.07.1980	07:30	79	85	97
09.07.1980	07:30	72	75	96
10.07.1980	07:30	76	79	99
11.07.1980	07:30	91	89	99
12.07.1980	07:30	80	84	99
13.07.1980	07:30	85	84	100
14.07.1980	07:30	87	87	100
15.07.1980	07:30	85	91	99
16.07.1980	07:30	72	79	93
17.07.1980	07:30	67	72	89
18.07.1980	07:30	69	72	91
19.07.1980	07:30	86	89	100
20.07.1980	07:30	78	83	99
21.07.1980	07:30	79	87	99
22.07.1980	07:30	64	73	86
23.07.1980	07:30	68	72	78
24.07.1980	07:30	64	72	64
25.07.1980	07:30	66	71	73
26.07.1980	07:30	65	71	68
27.07.1980	07:30	71	76	75
28.07.1980	07:30	78	83	94
29.07.1980	07:30	80	85	91
30.07.1980	07:30	86	89	99
31.07.1980	07:30	71	73	82
01.08.1980	07:30	70	70	72
02.08.1980	07:30	65	65	68
03.08.1980	07:30	70	64	63
04.08.1980	07:30	66	72	77
05.08.1980	07:30	66	70	86
06.08.1980	07:30	65	68	78
07.08.1980	07:30	66	65	78
08.08.1980	07:30	76	81	85
09.08.1980	07:30	61	75	92
10.08.1980	07:30	69	73	80
11.08.1980	07:30	62	69	73
12.08.1980	07:30	83	88	96
13.08.1980	07:30	72	78	90
14.08.1980	07:30	72	71	78
15.08.1980	07:30	68	68	72
16.08.1980	07:30	71	75	75
17.08.1980	07:30	61	66	66
18.08.1980	07:30	62	64	66
19.08.1980	07:30	78	81	86
20.08.1980	07:30	73	76	94
21.08.1980	07:30	64	69	91
22.08.1980	07:30	60	75	96
23.08.1980	07:30	71	76	99
24.08.1980	07:30	69	81	96
25.08.1980	07:30	65	74	82
26.08.1980	07:30	66	66	64
27.08.1980	07:30	60	65	68
28.08.1980	07:30	64	71	72
29.08.1980	07:30	67	72	91
30.08.1980	07:30	71	74	92
31.08.1980	07:30	83	84	99
01.09.1980	07:30	77	84	98
02.09.1980	07:30	69	72	72
03.09.1980	07:30	64	61	63
04.09.1980	07:30	63	67	81
05.09.1980	07:30	77	83	95
06.09.1980	07:30	82	82	99
07.09.1980	07:30	75	74	84
08.09.1980	07:30	64	66	70
09.09.1980	07:30	78	81	96
10.09.1980	07:30	74	77	99
11.09.1980	07:30	80	82	99
12.09.1980	07:30	77	80	99
13.09.1980	07:30	76	78	99
14.09.1980	07:30	75	79	100
15.09.1980	07:30	82	95	99
16.09.1980	07:30	83	82	87
17.09.1980	07:30	81	84	93
18.09.1980	07:30	74	75	85
19.09.1980	07:30	75	75	77
20.09.1980	07:30	81	78	83
21.09.1980	07:30	83	79	81
22.09.1980	07:30	86	79	74
23.09.1980	07:30	88	89	90
24.09.1980	07:30	87	91	92
25.09.1980	07:30	91	96	98
26.09.1980	07:30	83	87	95
27.09.1980	07:30	85	85	84
28.09.1980	07:30	78	90	88
29.09.1980	07:30	83	82	87
30.09.1980	07:30	76	80	94
01.10.1980	07:30	70	76	85
02.10.1980	07:30	69	78	89
03.10.1980	07:30	72	78	90
04.10.1980	07:30	78	76	83
05.10.1980	07:30	70	75	83
06.10.1980	07:30	76	78	97
07.10.1980	07:30	76	79	99
08.10.1980	07:30	66	70	89
09.10.1980	07:30	76	79	98
10.10.1980	07:30	79	80	97
11.10.1980	07:30	86	85	85
12.10.1980	07:30	79	90	99
13.10.1980	07:30	81	95	100
14.10.1980	07:30	81	88	99
15.10.1980	07:30	78	84	99
16.10.1980	07:30	88	92	83
17.10.1980	07:30	87	91	78
18.10.1980	07:30	80	84	99
19.10.1980	07:30	74	77	90
20.10.1980	07:30	75	80	93
21.10.1980	07:30	80	81	99
22.10.1980	07:30	75	73	88
23.10.1980	07:30	81	79	92
24.10.1980	07:30	77	83	100
25.10.1980	07:30	82	90	99
26.10.1980	07:30	75	79	88
27.10.1980	07:30	80	81	97
28.10.1980	07:30	71	78	95
29.10.1980	07:30	70	73	90
30.10.1980	07:30	73	76	85
31.10.1980	07:30	84	85	94
01.11.1980	07:30	76	78	87
02.11.1980	07:30	76	78	90
03.11.1980	07:30	86	90	95
04.11.1980	07:30	83	91	96
05.11.1980	07:30	79	89	98
06.11.1980	07:30	87	94	98
07.11.1980	07:30	91	98	98
08.11.1980	07:30	93	97	98
09.11.1980	07:30	89	96	97
10.11.1980	07:30	86	91	96
11.11.1980	07:30	83	81	97
12.11.1980	07:30	81	79	98
13.11.1980	07:30	83	81	99
14.11.1980	07:30	78	78	99
15.11.1980	07:30	83	84	99
16.11.1980	07:30	79	84	100
17.11.1980	07:30	76	78	99
18.11.1980	07:30	67	70	93
19.11.1980	07:30	80	74	94
20.11.1980	07:30	86	83	99
21.11.1980	07:30	75	73	96
22.11.1980	07:30	74	77	99
23.11.1980	07:30	71	74	99
24.11.1980	07:30	74	78	100
25.11.1980	07:30	83	88	100
26.11.1980	07:30	81	86	97
27.11.1980	07:30	79	82	85
28.11.1980	07:30	77	84	98
29.11.1980	07:30	89	96	99
30.11.1980	07:30	84	91	98
01.12.1980	07:30	84	88	95
02.12.1980	07:30	83	82	93
03.12.1980	07:30	83	86	95
04.12.1980	07:30	88	87	97
05.12.1980	07:30	91	88	97
06.12.1980	07:30	86	89	98
07.12.1980	07:30	89	87	93
08.12.1980	07:30	85	85	94
09.12.1980	07:30	78	80	98
10.12.1980	07:30	61	57	94
11.12.1980	07:30	77	80	98
