#abc annual data set from leaf river
@{time_format='dd.mm.yyyy hh:mm'}			

time	precip	runoff	
===================================			
15.02.1991 07:30	20.00	1.00
16.02.1991 07:30	3.46	1.00
17.02.1991 07:30	0.06	1.00
18.02.1991 07:30	0.00	1.00
19.02.1991 07:30	0.00	0.80
20.02.1991 07:30	0.00	0.80
21.02.1991 07:30	0.00	0.80
22.02.1991 07:30	2.80	0.80
23.02.1991 07:30	2.51	0.80
24.02.1991 07:30	0.02	0.80
25.02.1991 07:30	0.00	0.80
26.02.1991 07:30	0.00	0.80
27.02.1991 07:30	0.01	0.80
28.02.1991 07:30	0.00	0.80
01.03.1991 07:30	0.00	0.73
02.03.1991 07:30	2.22	0.73
03.03.1991 07:30	0.05	0.73
04.03.1991 07:30	0.00	0.73
05.03.1991 07:30	0.51	0.73
06.03.1991 07:30	0.12	0.80
07.03.1991 07:30	0.00	0.93
08.03.1991 07:30	0.00	0.93
09.03.1991 07:30	2.78	0.93
10.03.1991 07:30	0.00	1.20
11.03.1991 07:30	0.04	1.40
12.03.1991 07:30	0.00	1.40
13.03.1991 07:30	0.00	1.40
14.03.1991 07:30	0.00	1.46
15.03.1991 07:30	1.68	1.46
16.03.1991 07:30	0.00	1.46
17.03.1991 07:30	0.00	1.60
18.03.1991 07:30	0.00	1.66
19.03.1991 07:30	25.80	2.13
20.03.1991 07:30	6.24	4.32
21.03.1991 07:30	8.37	4.32
22.03.1991 07:30	0.42	4.32
23.03.1991 07:30	0.00	4.32
24.03.1991 07:30	1.66	3.92
25.03.1991 07:30	0.25	3.52
26.03.1991 07:30	0.00	3.06
27.03.1991 07:30	0.00	2.66
28.03.1991 07:30	0.29	2.39
29.03.1991 07:30	0.42	2.26
30.03.1991 07:30	0.00	2.13
31.03.1991 07:30	0.00	1.93
01.04.1991 07:30	4.11	1.79
02.04.1991 07:30	0.02	1.79
03.04.1991 07:30	0.00	1.66
04.04.1991 07:30	0.42	1.66
05.04.1991 07:30	0.00	1.60
06.04.1991 07:30	0.00	1.46
07.04.1991 07:30	3.66	1.40
08.04.1991 07:30	4.68	1.26
