# abc model output
# 
time	simRunoff	obsRunoff
1990-04-08 07:30	0.5235308408147137	1.66
1990-04-09 07:30	1.5669987655714823	1.66
1990-04-10 07:30	0.4554718315088009	1.66
1990-04-11 07:30	1.3632889260471897	1.66
1990-04-12 07:30	0.8658204934126569	1.6
1990-04-13 07:30	1.469461365661055	1.46
1990-04-14 07:30	0.7667838292690115	1.4
1990-04-15 07:30	1.2831113881251177	1.46
1990-04-16 07:30	0.9494619314640399	1.46
1990-04-17 07:30	1.5052669076688525	1.6
1990-04-18 07:30	0.9066318803737148	1.6
1990-04-19 07:30	1.6850222096719016	1.66
1990-04-20 07:30	1.369089735925132	1.93
1990-04-21 07:30	1.8840493224145545	2.13
1990-04-22 07:30	1.2155480702548649	2.26
1990-04-23 07:30	1.6640829105006625	2.39
1990-04-24 07:30	1.1126468211217324	2.13
1990-04-25 07:30	1.7009921321355763	2.39
1990-04-26 07:30	1.4183227343759073	2.13
1990-04-27 07:30	1.6712231549579513	2.13
1990-04-28 07:30	1.2797007789070394	2.13
1990-04-29 07:30	1.6578041448134175	1.99
1990-04-30 07:30	1.1154196776491243	1.99
1990-05-01 07:30	1.4422896059876733	1.93
1990-05-02 07:30	0.970415119554738	1.79
1990-05-03 07:30	1.2547919572092758	1.79
1990-05-04 07:30	0.8442611540126221	1.66
1990-05-05 07:30	1.09166900277207	1.6
1990-05-06 07:30	0.7345072039909812	1.6
1990-05-07 07:30	0.9497520324117008	1.46
1990-05-08 07:30	0.6582612674721536	1.46
1990-05-09 07:30	0.9973642681981797	1.4
1990-05-10 07:30	0.8524473027007737	1.4
1990-05-11 07:30	0.9030669133324164	1.26
1990-05-12 07:30	0.7593091533496732	1.26
1990-05-13 07:30	1.0316282145992022	1.2
1990-05-14 07:30	0.6959589634142157	1.2
1990-05-15 07:30	0.897516546701306	1.06
1990-05-16 07:30	0.6054842981703675	1.06
1990-05-17 07:30	0.7808393956301363	1.0
1990-05-18 07:30	0.99789133940822	1.0
1990-05-19 07:30	0.6793302741982186	0.93
1990-05-20 07:30	0.8681654652851514	0.93
1990-05-21 07:30	0.5910173385524502	0.93
1990-05-22 07:30	0.7553039547980817	0.93
1990-05-23 07:30	0.5141850845406317	0.93
1990-05-24 07:30	0.657114440674331	0.8
1990-05-25 07:30	0.48218102355034953	0.8
1990-05-26 07:30	0.571689563386668	0.8
1990-05-27 07:30	0.41949749048880414	0.8
1990-05-28 07:30	0.4973699201464012	0.8
1990-05-29 07:30	0.3649628167252596	0.73
1990-05-30 07:30	0.432711830527369	0.73
1990-05-31 07:30	0.31751765055097586	0.73
1990-06-01 07:30	0.37645929255881105	0.66
1990-06-02 07:30	0.276240355979349	0.73
1990-06-03 07:30	0.3275195845261656	0.8
1990-06-04 07:30	1.6089691097020338	0.8
1990-06-05 07:30	0.8304220385377641	0.8
1990-06-06 07:30	1.6457631254407692	0.73
1990-06-07 07:30	0.7235071735278548	0.66
1990-06-08 07:30	1.4318139191334693	0.8
1990-06-09 07:30	0.9554912409692337	0.73
1990-06-10 07:30	2.020478109646118	0.93
1990-06-11 07:30	0.8588373796432333	1.26
1990-06-12 07:30	3.2606159553921232	1.2
1990-06-13 07:30	0.7471885202896129	1.06
1990-06-14 07:30	2.855975881191147	1.06
1990-06-15 07:30	0.7654940126519633	1.0
1990-06-16 07:30	2.5637390166362986	0.93
1990-06-17 07:30	0.6810597910072079	0.93
1990-06-18 07:30	2.23045294447358	0.93
1990-06-19 07:30	0.5925220181762709	0.93
1990-06-20 07:30	1.9467340616920144	0.93
1990-06-21 07:30	0.6023341558133557	0.93
1990-06-22 07:30	2.0597386336720525	1.06
1990-06-23 07:30	0.6316707155576196	1.0
1990-06-24 07:30	2.3582526112946858	0.93
1990-06-25 07:30	0.846993522535129	0.93
1990-06-26 07:30	2.0516797718263766	0.8
1990-06-27 07:30	0.7368843646055623	0.8
1990-06-28 07:30	1.7849614014889477	0.8
1990-06-29 07:30	0.9541293972068392	0.8
1990-06-30 07:30	1.5529164192953844	1.0
1990-07-01 07:30	1.60125257556995	0.93
1990-07-02 07:30	1.6869572847869845	0.93
1990-07-03 07:30	1.4383297407458566	0.93
1990-07-04 07:30	1.4676528377646765	0.93
1990-07-05 07:30	1.6855468744488953	1.0
1990-07-06 07:30	1.2903779688552683	1.0
1990-07-07 07:30	2.1757057807705387	1.0
1990-07-08 07:30	1.5989488329040833	1.06
1990-07-09 07:30	2.064464029270369	1.06
1990-07-10 07:30	1.5808854846265525	1.0
1990-07-11 07:30	2.262003705465221	1.0
1990-07-12 07:30	1.6707303716251007	1.0
1990-07-13 07:30	1.9679432237547423	1.0
1990-07-14 07:30	1.4535354233138376	1.0
1990-07-15 07:30	1.7121106046666257	1.0
1990-07-16 07:30	1.2645758182830387	0.93
1990-07-17 07:30	1.4895362260599643	0.93
